Date,Activity,Activity type,Unit,Amount executed
2025-06-18,Anchorage,Railway,m2,2972.899142144255
2025-07-02,Cement making,Building,m3,1675.742356932275
2025-07-20,Pavement,Road,m2,1238.5495910231214
2025-01-16,Coat preparation,Road,L,1260.0469426919476
2025-09-29,Walling,Building,m2,3225.482538937797
2025-08-10,Walling,Building,m2,3049.8029435879957
2025-09-25,Walling,Building,m2,2211.290370683141
2025-09-06,Cement making,Building,m3,1021.7183441229738
2025-12-06,Foundation pouring,Building,m3,4748.938006689942
2025-04-16,Pavement,Road,m2,4242.022744396743
2025-05-26,Cement making,Building,m3,4869.6784485953585
2025-01-22,Ballast,Railway,m3,620.3759030937117
2025-06-30,Iron mining,Railway,m3,3378.461271173052
2025-11-25,Cement making,Building,m3,3281.853672527187
2025-12-26,Ballast,Railway,m3,26.563137118658652
2025-01-06,Anchorage,Railway,m2,4934.523051259833
2025-11-10,Anchorage,Railway,m2,1824.6256369215369
2025-08-25,Subbase application,Road,m2,1049.9692376041785
2025-02-03,Cement making,Building,m3,1156.8739680830176
2025-08-11,Pavement,Road,m2,555.0961786658664
2025-06-07,Ballast,Railway,m3,2542.1691345027407
2025-11-21,Iron mining,Railway,m3,3978.424807414577
2025-08-28,Ballast,Railway,m3,399.7555805796588
2025-08-03,Walling,Building,m2,3822.7036649984257
2025-05-19,Foundation pouring,Building,m3,479.02557067745875
2025-04-30,Terrain leveling,Building,m3,1114.5124883542273
2025-11-06,Rolling/Tractor,Road,m2,4337.1095552394145
2025-03-28,Ballast,Railway,m3,3174.1619635746342
2025-04-13,Terrain leveling,Building,m3,1451.2943112955202
2025-08-12,Terrain leveling,Building,m3,1265.9313510867005
2025-05-31,Anchorage,Railway,m2,2962.6960933916043
2025-10-06,Subbase application,Road,m2,2836.749019678375
2025-05-18,Pavement,Road,m2,312.6975822615702
2025-06-01,Iron mining,Railway,m3,1984.9313876525448
2025-10-28,Subbase application,Road,m2,2975.67617844536
2025-03-26,Subbase application,Road,m2,870.5126806097941
2025-04-24,Subbase application,Road,m2,1353.6768815408084
2025-10-05,Removing trees,Building,m2,4282.883269364673
2025-06-20,Rolling/Tractor,Road,m2,1595.9533478278786
2025-12-15,Foundation pouring,Building,m3,4114.632525160952
2025-05-26,Laying steel rail,Railway,m,1475.6281786753138
2025-11-07,Foundation pouring,Building,m3,194.25809788093383
2025-10-09,Rolling/Tractor,Road,m2,4505.895772751606
2025-07-10,Ballast,Railway,m3,743.2481359854543
2025-12-19,Walling,Building,m2,4639.881231106672
2025-04-25,Walling,Building,m2,4630.297534856159
2025-10-02,Foundation pouring,Building,m3,1274.001275311859
2025-01-19,Pavement,Road,m2,2879.3346634458335
2025-12-26,Terrain leveling,Building,m3,3888.8755500016587
2025-02-07,Cement making,Building,m3,3377.688807005059
2025-06-21,Ballast,Railway,m3,3710.7912089572696
2025-08-08,Walling,Building,m2,2052.114023942799
2025-01-28,Pavement,Road,m2,4878.592109142332
2025-01-22,Laying steel rail,Railway,m,606.3498142117136
2025-11-30,Coat preparation,Road,L,2045.697125767059
2025-03-25,Laying steel rail,Railway,m,4214.160187243302
2025-02-06,Laying steel rail,Railway,m,2346.645766708261
2025-03-27,Terrain leveling,Building,m3,1852.96991495511
2025-04-27,Laying steel rail,Railway,m,595.9295506424467
2025-01-13,Subbase application,Road,m2,3558.7679802345174
2025-12-14,Coat preparation,Road,L,3269.5512857175368
2025-11-13,Cement making,Building,m3,2143.2373064234507
2025-04-04,Anchorage,Railway,m2,3724.295672340302
2025-05-28,Anchorage,Railway,m2,496.3189622961706
2025-07-28,Walling,Building,m2,2635.520313519159
2025-12-05,Terrain leveling,Building,m3,3705.7284868715633
2025-12-12,Anchorage,Railway,m2,4352.65951302481
2025-05-16,Anchorage,Railway,m2,3860.293496470662
2025-01-20,Rolling/Tractor,Road,m2,4775.755430201972
2025-11-02,Walling,Building,m2,3614.218521433353
2025-12-13,Iron mining,Railway,m3,1111.2137046525877
2025-08-11,Iron mining,Railway,m3,719.2405314591838
2025-10-23,Ballast,Railway,m3,57.5529819682008
2025-01-13,Laying steel rail,Railway,m,3672.7142619127103
2025-10-03,Pavement,Road,m2,1360.9592877648497
2025-06-29,Terrain leveling,Building,m3,4070.4317081411373
2025-10-10,Iron mining,Railway,m3,3446.6321242240615
2025-07-09,Walling,Building,m2,2928.800277293375
2025-04-01,Coat preparation,Road,L,827.7667954684148
2025-01-23,Rolling/Tractor,Road,m2,4184.090187490166
2025-02-15,Laying steel rail,Railway,m,2993.955726995775
2025-09-07,Walling,Building,m2,2365.9241012257617
2025-08-25,Coat preparation,Road,L,1431.1164299005259
2025-07-27,Removing trees,Building,m2,3453.9986290648703
2025-09-28,Removing trees,Building,m2,2693.9142199303974
2025-12-27,Coat preparation,Road,L,1584.0413186762391
2025-05-22,Anchorage,Railway,m2,2079.0959484582154
2025-09-17,Rolling/Tractor,Road,m2,2290.9548816742476
2025-05-20,Removing trees,Building,m2,396.09057837948217
2025-03-31,Anchorage,Railway,m2,3630.5754559730526
2025-07-05,Ballast,Railway,m3,2733.45585927727
2025-04-18,Cement making,Building,m3,4869.957584310558
2025-08-12,Ballast,Railway,m3,2531.930165190291
2025-06-26,Removing trees,Building,m2,1589.9389234242656
2025-07-06,Subbase application,Road,m2,4924.502945447894
2025-07-29,Anchorage,Railway,m2,3410.1691021683173
2025-12-19,Pavement,Road,m2,3340.4883672003066
2025-06-02,Walling,Building,m2,4079.899999785471
2025-01-31,Ballast,Railway,m3,2115.3368158373455
2025-01-31,Terrain leveling,Building,m3,3128.615271155802
2025-03-07,Terrain leveling,Building,m3,2044.0304692138034
2025-09-22,Removing trees,Building,m2,1436.870097856417
2025-10-31,Foundation pouring,Building,m3,878.4124851178749
2025-01-23,Laying steel rail,Railway,m,2064.248192370269
2025-03-04,Cement making,Building,m3,2034.6121404458838
2025-05-16,Foundation pouring,Building,m3,99.72352224689062
2025-05-04,Terrain leveling,Building,m3,3754.635975974493
2025-04-10,Cement making,Building,m3,618.4095982547067
2025-06-02,Pavement,Road,m2,1586.8669243993588
2025-04-19,Removing trees,Building,m2,4523.05361576218
2025-09-11,Terrain leveling,Building,m3,1916.181309903065
2025-02-15,Anchorage,Railway,m2,4900.89838638341
2025-06-14,Iron mining,Railway,m3,910.0827829498653
2025-09-29,Removing trees,Building,m2,3865.8031905288326
2025-06-29,Walling,Building,m2,348.93663799529185
2025-08-25,Foundation pouring,Building,m3,807.7589619265397
2025-09-02,Foundation pouring,Building,m3,494.2459127192827
2025-08-07,Laying steel rail,Railway,m,4710.003868503121
2025-06-20,Coat preparation,Road,L,208.97222679160942
2025-01-11,Coat preparation,Road,L,2187.5720377089997
2025-04-26,Cement making,Building,m3,690.0884823121811
2025-10-26,Iron mining,Railway,m3,1166.8892071017206
2025-03-28,Coat preparation,Road,L,2289.6417426867206
2025-10-07,Iron mining,Railway,m3,1477.441370505851
2025-02-26,Foundation pouring,Building,m3,2292.271928171644
2025-05-02,Removing trees,Building,m2,4923.9432654384755
2025-04-12,Iron mining,Railway,m3,2161.911020852576
2025-12-02,Laying steel rail,Railway,m,4808.037728019203
2025-08-21,Subbase application,Road,m2,2567.693507089536
2025-04-01,Iron mining,Railway,m3,76.48051777872477
2025-11-18,Walling,Building,m2,1520.2303762610086
2025-11-16,Anchorage,Railway,m2,788.9716228034521
2025-06-06,Laying steel rail,Railway,m,687.5025318480227
2025-06-12,Iron mining,Railway,m3,971.1433697846428
2025-01-30,Anchorage,Railway,m2,1579.746812146564
2025-08-19,Removing trees,Building,m2,2991.4324282918246
2025-09-23,Subbase application,Road,m2,881.7673751073951
2025-02-20,Rolling/Tractor,Road,m2,766.2437214340296
2025-06-17,Pavement,Road,m2,3027.8760059650212
2025-06-23,Removing trees,Building,m2,544.4462554702317
2025-08-19,Ballast,Railway,m3,839.8314299391308
2025-01-20,Removing trees,Building,m2,3985.1628129765563
2025-07-29,Terrain leveling,Building,m3,3034.2329235267916
2025-04-19,Coat preparation,Road,L,4254.265808941046
2025-06-24,Anchorage,Railway,m2,1927.2526761505098
2025-05-26,Terrain leveling,Building,m3,3004.06226520122
2025-12-15,Ballast,Railway,m3,3167.6449407852597
2025-10-06,Removing trees,Building,m2,2243.3245025661236
2025-07-02,Rolling/Tractor,Road,m2,1681.8197363879221
2025-10-10,Walling,Building,m2,1173.9509432949985
2025-12-03,Rolling/Tractor,Road,m2,2757.448027673696
2025-10-07,Laying steel rail,Railway,m,4285.845026065526
2025-04-30,Anchorage,Railway,m2,2786.489310374893
2025-07-30,Walling,Building,m2,4129.686603862648
2025-04-07,Pavement,Road,m2,268.4945713873316
2025-07-15,Ballast,Railway,m3,2791.6136782746016
2025-07-01,Subbase application,Road,m2,1296.1937123869332
2025-06-11,Subbase application,Road,m2,784.7861831503989
2025-05-02,Coat preparation,Road,L,635.2757212047844
2025-12-01,Terrain leveling,Building,m3,757.5882550558327
2025-12-21,Laying steel rail,Railway,m,318.31508307891556
2025-08-24,Rolling/Tractor,Road,m2,1550.9525189941703
2025-07-05,Removing trees,Building,m2,4220.289546444853
2025-04-04,Pavement,Road,m2,2968.9283809050044
2025-08-21,Terrain leveling,Building,m3,3613.2277405778973
2025-03-01,Cement making,Building,m3,3455.0172684762356
2025-11-20,Coat preparation,Road,L,3125.2620334324597
2025-04-14,Terrain leveling,Building,m3,1286.6963045109487
2025-12-28,Pavement,Road,m2,1691.660454429328
2025-06-29,Rolling/Tractor,Road,m2,53.537941300004775
2025-10-23,Cement making,Building,m3,2991.0544336682365
2025-05-28,Terrain leveling,Building,m3,3008.8920408817758
2025-10-11,Iron mining,Railway,m3,939.7309379090824
2025-03-05,Foundation pouring,Building,m3,3366.5765308870837
2025-04-25,Foundation pouring,Building,m3,3173.068235300584
2025-08-22,Cement making,Building,m3,3034.651438522599
2025-10-29,Rolling/Tractor,Road,m2,4100.357794561838
2025-01-06,Subbase application,Road,m2,467.22513642596107
2025-09-16,Pavement,Road,m2,273.68240104576336
2025-04-23,Removing trees,Building,m2,898.3490560229324
2025-06-19,Laying steel rail,Railway,m,3081.357245342573
2025-01-12,Cement making,Building,m3,3872.234252871205
2025-06-04,Ballast,Railway,m3,4451.739685418305
2025-06-28,Foundation pouring,Building,m3,2671.010616861653
2025-10-17,Walling,Building,m2,2545.8810427539697
2025-01-30,Pavement,Road,m2,2481.6384859270806
2025-09-23,Cement making,Building,m3,4711.318056825437
2025-01-06,Rolling/Tractor,Road,m2,250.85726615263593
2025-08-07,Subbase application,Road,m2,69.95624352696849
2025-12-13,Iron mining,Railway,m3,3511.561803809495
2025-06-28,Cement making,Building,m3,3498.007519928374
2025-07-11,Rolling/Tractor,Road,m2,1682.9636594827796
2025-02-03,Laying steel rail,Railway,m,824.7376484588725
2025-10-24,Coat preparation,Road,L,654.4261765411808
2025-11-07,Ballast,Railway,m3,2400.6329779216535
2025-12-25,Foundation pouring,Building,m3,859.9288985914827
2025-07-22,Coat preparation,Road,L,1757.6850169154395
2025-06-16,Subbase application,Road,m2,4584.573816436495
2025-10-28,Terrain leveling,Building,m3,4569.843364334919
2025-07-23,Subbase application,Road,m2,3261.123954663525
2025-12-03,Cement making,Building,m3,2107.229922243599
2025-11-30,Removing trees,Building,m2,3904.8545765810895
2025-11-21,Cement making,Building,m3,622.214039679031
2025-08-28,Cement making,Building,m3,1287.4882837061718
2025-06-21,Subbase application,Road,m2,3789.5981291801113
2025-08-05,Terrain leveling,Building,m3,2701.016850764963
2025-04-02,Terrain leveling,Building,m3,3299.484432821461
2025-06-29,Rolling/Tractor,Road,m2,3242.020987848204
2025-04-12,Terrain leveling,Building,m3,1744.3039863831207
2025-12-13,Pavement,Road,m2,35.78297929773599
2025-12-29,Coat preparation,Road,L,1997.280878756168
2025-01-27,Cement making,Building,m3,4093.0160739369753
2025-11-03,Anchorage,Railway,m2,716.43629317304
2025-05-22,Ballast,Railway,m3,1973.2735757438925
2025-04-13,Rolling/Tractor,Road,m2,1466.1497519776706
2025-04-18,Subbase application,Road,m2,3837.7635398585708
2025-11-20,Subbase application,Road,m2,1189.2066196503636
2025-11-18,Ballast,Railway,m3,3076.990360500411
2025-10-26,Cement making,Building,m3,4519.9542784423065
2025-03-16,Laying steel rail,Railway,m,558.8481537259837
2025-09-13,Coat preparation,Road,L,3259.3307610318343
2025-04-20,Walling,Building,m2,1770.8521880985838
2025-03-07,Anchorage,Railway,m2,1462.6637941314807
2025-02-06,Removing trees,Building,m2,133.34122966681795
2025-07-01,Walling,Building,m2,3170.66792528321
2025-04-11,Ballast,Railway,m3,2492.8188873070194
2025-01-17,Walling,Building,m2,4164.29102585869
2025-09-07,Walling,Building,m2,3017.098116947775
2025-11-30,Laying steel rail,Railway,m,2988.14316086343
2025-11-02,Terrain leveling,Building,m3,2204.427975207166
2025-03-25,Coat preparation,Road,L,280.2088159985783
2025-10-28,Subbase application,Road,m2,582.0346287503087
2025-06-06,Walling,Building,m2,4504.32806775907
2025-11-13,Cement making,Building,m3,4547.106235092576
2025-04-24,Anchorage,Railway,m2,3015.306993104717
2025-01-06,Iron mining,Railway,m3,4133.671760035793
2025-06-14,Coat preparation,Road,L,3925.1599290195354
2025-08-17,Laying steel rail,Railway,m,1757.4082688312037
2025-11-10,Subbase application,Road,m2,4085.4222250988064
2025-01-03,Ballast,Railway,m3,3979.402106511302
2025-01-19,Subbase application,Road,m2,4179.127981761849
2025-07-19,Pavement,Road,m2,2368.3743179822973
2025-10-03,Rolling/Tractor,Road,m2,2123.204699605813
2025-06-12,Subbase application,Road,m2,3754.8432497170575
2025-08-27,Foundation pouring,Building,m3,1835.858642958571
2025-07-14,Coat preparation,Road,L,1732.9864672089923
2025-07-05,Subbase application,Road,m2,714.0594873405398
2025-09-03,Foundation pouring,Building,m3,1646.3116593772293
2025-09-06,Subbase application,Road,m2,605.3821872131881
2025-11-02,Terrain leveling,Building,m3,2508.242429391116
2025-09-12,Anchorage,Railway,m2,4530.026101894756
2025-03-11,Ballast,Railway,m3,171.85996068526887
2025-11-03,Iron mining,Railway,m3,3218.4664095359844
2025-09-08,Rolling/Tractor,Road,m2,3434.656931122711
2025-04-12,Subbase application,Road,m2,3655.4410961438284
2025-07-14,Subbase application,Road,m2,4801.487335928003
2025-01-06,Ballast,Railway,m3,3161.251937372182
2025-06-24,Iron mining,Railway,m3,2036.0348939004646
2025-03-06,Subbase application,Road,m2,167.9475758885246
2025-08-15,Terrain leveling,Building,m3,3909.047318505566
2025-10-03,Laying steel rail,Railway,m,2254.0281725113186
2025-07-05,Anchorage,Railway,m2,248.15721375900878
2025-11-04,Cement making,Building,m3,2351.9008755008267
2025-09-22,Subbase application,Road,m2,3354.038026378164
2025-01-30,Pavement,Road,m2,4424.338435750274
2025-09-19,Ballast,Railway,m3,1462.5504446632015
2025-05-03,Ballast,Railway,m3,578.4373536046755
2025-07-20,Coat preparation,Road,L,3390.8793392293974
2025-09-26,Subbase application,Road,m2,228.70446081457217
2025-01-14,Iron mining,Railway,m3,3042.807902605166
2025-03-16,Removing trees,Building,m2,4887.456856806209
2025-12-03,Cement making,Building,m3,3596.4384150248807
2025-05-05,Foundation pouring,Building,m3,725.1145351100347
2025-05-06,Subbase application,Road,m2,35.964358950092425
2025-12-25,Cement making,Building,m3,2651.4930871844667
2025-11-03,Cement making,Building,m3,3093.486834312107
2025-08-08,Foundation pouring,Building,m3,3190.01640410731
2025-03-09,Laying steel rail,Railway,m,3560.217688040399
2025-01-30,Coat preparation,Road,L,389.92062349868297
2025-08-09,Terrain leveling,Building,m3,3528.430199265718
2025-06-28,Anchorage,Railway,m2,4908.913275937151
2025-08-16,Terrain leveling,Building,m3,1202.8291131655083
2025-09-11,Walling,Building,m2,1834.1793178789967
2025-11-23,Ballast,Railway,m3,1036.0690095646091
2025-08-09,Pavement,Road,m2,4848.757425422365
2025-10-08,Rolling/Tractor,Road,m2,1708.3229310360725
2025-03-15,Foundation pouring,Building,m3,4720.666922139852
2025-09-07,Rolling/Tractor,Road,m2,792.3121444513931
2025-12-01,Removing trees,Building,m2,1443.192161942024
2025-09-05,Anchorage,Railway,m2,2277.1452232451024
2025-04-20,Cement making,Building,m3,1507.6826346242945
2025-10-12,Walling,Building,m2,3717.679048374341
2025-12-28,Terrain leveling,Building,m3,2988.290443245965
2025-05-15,Laying steel rail,Railway,m,3928.7310955108255
2025-09-29,Anchorage,Railway,m2,4276.278800672184
2025-11-27,Laying steel rail,Railway,m,4450.088829063889
2025-02-02,Coat preparation,Road,L,256.79290833774184
2025-11-28,Rolling/Tractor,Road,m2,3610.46844154506
2025-09-16,Coat preparation,Road,L,1482.1029215042015
2025-01-13,Ballast,Railway,m3,2854.852723435223
2025-12-28,Cement making,Building,m3,3892.9487634803318
2025-05-11,Anchorage,Railway,m2,1055.335045327292
2025-08-17,Pavement,Road,m2,3976.2913763339225
2025-08-16,Coat preparation,Road,L,3082.945122116101
2025-02-16,Subbase application,Road,m2,1947.9132880237448
2025-07-28,Ballast,Railway,m3,3806.0246408595617
2025-05-12,Terrain leveling,Building,m3,4808.201943246978
2025-05-25,Walling,Building,m2,4525.546939184428
2025-04-06,Coat preparation,Road,L,557.2597544209035
2025-09-29,Ballast,Railway,m3,332.1691733512549
2025-06-09,Iron mining,Railway,m3,1761.2480411095255
2025-11-19,Coat preparation,Road,L,2943.5165825395347
2025-06-23,Cement making,Building,m3,3247.5121897793433
2025-07-24,Anchorage,Railway,m2,3769.7985939289424
2025-09-22,Removing trees,Building,m2,3355.3245760635127
2025-01-27,Terrain leveling,Building,m3,2574.858478531491
2025-02-20,Terrain leveling,Building,m3,1687.7101929913806
2025-08-16,Iron mining,Railway,m3,2508.4743998128138
2025-03-25,Laying steel rail,Railway,m,3175.292318952137
2025-01-04,Subbase application,Road,m2,1141.4239772962048
2025-05-20,Iron mining,Railway,m3,2874.8650723899636
2025-01-09,Iron mining,Railway,m3,3641.5672712700493
2025-09-05,Laying steel rail,Railway,m,3854.7138957201714
2025-03-06,Subbase application,Road,m2,4387.991830481413
2025-03-25,Pavement,Road,m2,4758.771667565602
2025-04-20,Terrain leveling,Building,m3,1178.941405515579
2025-06-16,Walling,Building,m2,857.510859037316
2025-12-21,Removing trees,Building,m2,92.54102764707339
2025-07-14,Foundation pouring,Building,m3,4171.9890289122195
2025-05-24,Iron mining,Railway,m3,2898.8455420719033
2025-09-08,Subbase application,Road,m2,2357.437926098666
2025-07-05,Foundation pouring,Building,m3,3385.94313123473
2025-03-01,Pavement,Road,m2,2634.905335401369
2025-07-01,Foundation pouring,Building,m3,2787.1008880199056
2025-09-28,Cement making,Building,m3,16.24813432844263
2025-05-17,Iron mining,Railway,m3,712.4626489906133
2025-03-08,Anchorage,Railway,m2,2153.6564703929453
2025-11-20,Cement making,Building,m3,176.71337361914397
2025-02-05,Coat preparation,Road,L,1306.1468386972747
2025-11-21,Removing trees,Building,m2,3849.371516804902
2025-07-14,Rolling/Tractor,Road,m2,4520.263861221692
2025-03-15,Removing trees,Building,m2,1959.8297965642619
2025-04-16,Anchorage,Railway,m2,2210.611570715555
2025-09-28,Subbase application,Road,m2,3084.645140636703
2025-07-04,Cement making,Building,m3,3859.715711925699
2025-08-19,Walling,Building,m2,596.4928237683032
2025-12-17,Foundation pouring,Building,m3,4669.879933694831
2025-07-20,Pavement,Road,m2,4926.123913907605
2025-05-27,Removing trees,Building,m2,3247.810393762118
2025-12-06,Ballast,Railway,m3,3090.9419240688003
2025-02-05,Subbase application,Road,m2,1013.3843604996873
2025-06-23,Subbase application,Road,m2,4583.684510595271
2025-02-11,Coat preparation,Road,L,2146.4376566243964
2025-11-30,Walling,Building,m2,4646.2444062271215
2025-04-07,Anchorage,Railway,m2,2841.139889180201
2025-05-28,Rolling/Tractor,Road,m2,1927.8845299093794
2025-10-29,Laying steel rail,Railway,m,2169.5724440725057
2025-08-28,Pavement,Road,m2,341.83125319167897
2025-05-12,Anchorage,Railway,m2,4379.566436370901
2025-09-21,Iron mining,Railway,m3,1684.2029388816616
2025-11-03,Removing trees,Building,m2,4303.606674133062
2025-04-11,Subbase application,Road,m2,3906.050117333567
2025-05-10,Ballast,Railway,m3,244.4546895028471
2025-03-22,Laying steel rail,Railway,m,4271.415999912794
2025-05-07,Terrain leveling,Building,m3,1159.7500381041864
2025-07-17,Terrain leveling,Building,m3,4477.137962151241
2025-08-15,Pavement,Road,m2,4794.761269434007
2025-11-19,Pavement,Road,m2,2935.812209374272
2025-05-17,Cement making,Building,m3,3134.0755770565174
2025-05-10,Coat preparation,Road,L,161.0540079363887
2025-01-24,Coat preparation,Road,L,4855.644384071088
2025-12-11,Subbase application,Road,m2,669.8615518675299
2025-05-02,Foundation pouring,Building,m3,2492.3964171528028
2025-03-25,Foundation pouring,Building,m3,1203.4046304678081
2025-08-11,Anchorage,Railway,m2,4527.62825962502
2025-08-27,Foundation pouring,Building,m3,1834.621990310946
2025-04-01,Terrain leveling,Building,m3,4382.501786102623
2025-10-22,Subbase application,Road,m2,695.2270302803065
2025-10-15,Rolling/Tractor,Road,m2,81.01260326589255
2025-09-28,Cement making,Building,m3,3429.5769731767873
2025-09-04,Coat preparation,Road,L,3605.3905469290494
2025-06-14,Cement making,Building,m3,1928.69258759112
2025-11-01,Rolling/Tractor,Road,m2,4560.617376243962
2025-09-23,Terrain leveling,Building,m3,4571.762948299676
2025-04-10,Iron mining,Railway,m3,649.9855186434434
2025-08-22,Rolling/Tractor,Road,m2,3808.825739646067
2025-06-10,Subbase application,Road,m2,695.6811376368272
2025-06-20,Removing trees,Building,m2,4957.961553423895
2025-03-31,Walling,Building,m2,12.419001022451749
2025-01-24,Cement making,Building,m3,4111.125385773616
2025-05-09,Anchorage,Railway,m2,2023.2083128915474
2025-08-07,Cement making,Building,m3,3889.392017136548
2025-07-04,Rolling/Tractor,Road,m2,3181.3263091750164
2025-10-04,Walling,Building,m2,4852.51407659298
2025-03-05,Cement making,Building,m3,790.2862031963842
2025-09-09,Pavement,Road,m2,837.7559298717701
2025-12-11,Removing trees,Building,m2,2874.6885284400787
2025-11-01,Foundation pouring,Building,m3,4614.3302714781685
2025-04-09,Walling,Building,m2,2201.8689146373276
2025-01-30,Cement making,Building,m3,1524.6499925709984
2025-03-19,Terrain leveling,Building,m3,4161.619106165014
2025-09-04,Cement making,Building,m3,4321.116207679312
2025-03-02,Pavement,Road,m2,2925.254810738011
2025-06-17,Foundation pouring,Building,m3,73.27574958978956
2025-07-13,Ballast,Railway,m3,1994.084449546628
2025-08-17,Anchorage,Railway,m2,737.7451209682129
2025-12-07,Foundation pouring,Building,m3,2450.9545829132758
2025-06-18,Cement making,Building,m3,2972.0394076106745
2025-07-06,Walling,Building,m2,3408.9069615731314
2025-07-28,Subbase application,Road,m2,799.9693152320558
2025-12-11,Removing trees,Building,m2,3941.881687386336
2025-05-24,Foundation pouring,Building,m3,4364.050751241337
2025-05-01,Ballast,Railway,m3,1239.4966743755126
2025-09-12,Removing trees,Building,m2,4839.759516447598
2025-11-05,Walling,Building,m2,1578.7660609164982
2025-06-24,Subbase application,Road,m2,4544.691034113709
2025-08-27,Foundation pouring,Building,m3,4599.609136094808
2025-03-12,Anchorage,Railway,m2,2806.8456923988383
2025-01-10,Laying steel rail,Railway,m,4129.423193901023
2025-10-30,Removing trees,Building,m2,4511.336802029191
2025-07-28,Walling,Building,m2,4668.0310580877
2025-05-21,Anchorage,Railway,m2,4721.659104778732
2025-09-22,Terrain leveling,Building,m3,4532.985032587978
2025-06-01,Walling,Building,m2,3964.9889396645676
2025-01-24,Walling,Building,m2,2413.4448029098567
2025-04-24,Laying steel rail,Railway,m,4822.411804707688
2025-10-13,Laying steel rail,Railway,m,2697.427903631815
2025-02-16,Coat preparation,Road,L,3312.9705300849205
2025-01-16,Terrain leveling,Building,m3,2852.8242740163473
2025-04-27,Coat preparation,Road,L,3190.342622951518
2025-04-28,Laying steel rail,Railway,m,3459.7051987213536
2025-02-13,Subbase application,Road,m2,1965.0219611935393
2025-08-13,Ballast,Railway,m3,3234.569347594377
2025-09-05,Cement making,Building,m3,4052.194233160993
2025-12-08,Coat preparation,Road,L,3752.5241236951897
2025-04-16,Cement making,Building,m3,552.0347956046062
2025-03-01,Cement making,Building,m3,179.18152094879346
2025-12-02,Subbase application,Road,m2,1467.7783108929505
2025-11-10,Terrain leveling,Building,m3,2460.2788965679915
2025-09-12,Terrain leveling,Building,m3,3627.3305185076465
2025-11-12,Ballast,Railway,m3,3295.6431862071913
2025-09-20,Anchorage,Railway,m2,713.0205698712766
2025-12-27,Anchorage,Railway,m2,3228.8799637037664
2025-07-27,Ballast,Railway,m3,1934.804305740922
2025-10-21,Iron mining,Railway,m3,120.75595288912888
2025-12-03,Cement making,Building,m3,2365.171591734366
2025-03-30,Terrain leveling,Building,m3,4620.197261768482
2025-03-01,Laying steel rail,Railway,m,4446.417709527228
2025-01-30,Ballast,Railway,m3,4401.551701084007
2025-05-30,Anchorage,Railway,m2,886.9039519193328
2025-07-01,Walling,Building,m2,3471.557983505332
2025-09-24,Walling,Building,m2,83.4390577603611
2025-05-20,Removing trees,Building,m2,1757.488216630328
2025-01-14,Walling,Building,m2,389.80891473398503
2025-05-01,Coat preparation,Road,L,1134.2225461136002
2025-04-30,Cement making,Building,m3,2341.493126108245
2025-04-26,Removing trees,Building,m2,3619.493571394453
2025-01-29,Rolling/Tractor,Road,m2,2235.3405337881536
2025-01-26,Anchorage,Railway,m2,3421.980584056159
2025-01-11,Subbase application,Road,m2,1938.8962938330485
2025-01-04,Coat preparation,Road,L,2047.0249481262392
2025-02-02,Pavement,Road,m2,2202.5503487768765
2025-01-04,Iron mining,Railway,m3,3601.9925643687097
2025-09-12,Laying steel rail,Railway,m,3100.9186675206734
2025-12-20,Rolling/Tractor,Road,m2,4572.159413503537
2025-01-19,Subbase application,Road,m2,4116.987950753832
2025-06-06,Rolling/Tractor,Road,m2,3604.726272987449
2025-03-09,Cement making,Building,m3,3179.526677560059
2025-11-05,Subbase application,Road,m2,4611.335395303408
2025-04-12,Pavement,Road,m2,2093.9370509957985
2025-10-30,Ballast,Railway,m3,1818.3131642027595
2025-03-12,Anchorage,Railway,m2,2988.824380681114
2025-06-23,Cement making,Building,m3,4220.715661259789
2025-06-01,Subbase application,Road,m2,4901.694110839775
2025-12-14,Coat preparation,Road,L,1364.8762844979196
2025-12-01,Foundation pouring,Building,m3,1510.8272009979373
2025-11-22,Laying steel rail,Railway,m,2050.2436399456064
2025-04-17,Walling,Building,m2,3396.8831809498874
2025-06-04,Rolling/Tractor,Road,m2,632.3618589525837
2025-11-09,Cement making,Building,m3,3494.3637904744933
2025-01-25,Removing trees,Building,m2,274.31593652777866
2025-04-29,Anchorage,Railway,m2,523.844926508959
2025-06-30,Removing trees,Building,m2,3055.127028518508
2025-09-25,Subbase application,Road,m2,1931.8164950324308
2025-10-13,Cement making,Building,m3,43.59756069489129
2025-06-18,Ballast,Railway,m3,3003.9211788723915
2025-12-15,Pavement,Road,m2,700.0170644004278
2025-01-17,Foundation pouring,Building,m3,4454.076786515884
2025-10-27,Coat preparation,Road,L,612.8556969040122
2025-07-21,Iron mining,Railway,m3,4567.999466883798
2025-06-11,Pavement,Road,m2,1121.8915368196042
2025-01-23,Terrain leveling,Building,m3,3333.502332399217
2025-06-05,Coat preparation,Road,L,2753.7900353982286
2025-03-29,Removing trees,Building,m2,2406.9692706192523
2025-05-14,Foundation pouring,Building,m3,4203.533806868366
2025-07-26,Foundation pouring,Building,m3,3027.829715951843
2025-05-31,Walling,Building,m2,2359.690958070709
2025-04-23,Removing trees,Building,m2,1429.7811789212467
2025-04-22,Walling,Building,m2,289.605492765494
2025-12-27,Laying steel rail,Railway,m,2034.9106842410304
2025-07-05,Terrain leveling,Building,m3,290.3543816602616
